id	pw	log2FoldChange
K00836	ko00260	-4.49931695033803
K00813	ko00270	3.28421386616642
K01761	ko00270	-3.5172526772129
K00832	ko00270	4.03268797971541
K01758	ko00270	3.11015837462989
K00641	ko00270	2.9957347062603
K05396	ko00270	-4.25597137793273
K12339	ko00270	3.0750379954409
K00020	ko00280	3.47237853475922
K00822	ko00280	3.74987922088056
K00249	ko00280	4.34180031442515
K00626	ko00280	4.18645998429569
K01692	ko00280	4.17359632800296
K00140	ko00280	3.80510314013669
K00128	ko00280	3.66874623299616
K13778	ko00281	3.87748555965792
K01692	ko00281	4.17359632800296
K11731	ko00281	3.70711660900753
K13774	ko00281	2.90834343822309
K13777	ko00281	3.72476010931105
K00052	ko00290	-2.80778730914628
K14260	ko00290	4.00334455969212
K03340	ko00300	-5.26491040448297
K01692	ko00310	4.17359632800296
K00252	ko00310	3.15665798008068
K00626	ko00310	4.18645998429569
K01423	ko00310	3.09242204169382
K00824	ko00310	3.25910817494468
K00128	ko00310	3.66874623299616
K03897	ko00310	3.31464028199876
K01434	ko00311	3.68056558930085
K00824	ko00330	3.25910817494468
K01259	ko00330	3.69849104868064
K01438	ko00330	3.13060790733662
K00813	ko00330	3.28421386616642
K13747	ko00330	-4.65332414161108
K00261	ko00330	3.51724793202716
K00128	ko00330	3.66874623299616
K15371	ko00330	4.88400618395725
K01584	ko00330	4.00010401134107
K00472	ko00330	3.23524845503808
K00262	ko00330	-4.96022063311946
K00819	ko00330	3.23381576267285
K01426	ko00330	3.44862712769167
K01428	ko00330	3.99327778784685
K00619	ko00330	3.43826852770828
K01572	ko00330	-4.87427527396705
K00128	ko00340	3.66874623299616
K00492	ko00340	3.31897049168448
K01479	ko00340	3.99848724380356
K01712	ko00340	3.47237853475922
K01468	ko00340	3.45837762679957
K00135	ko00350	4.8010699639886
K00813	ko00350	3.28421386616642
K00151	ko00350	3.96825605173523
K13953	ko00350	4.088532705098
K00121	ko00350	3.69969223094566
K05921	ko00350	3.37804575464353
K00832	ko00350	4.03268797971541
K00451	ko00350	3.69137619803489
K00457	ko00350	3.91170610348705
K16171	ko00350	3.15388717175465
K03782	ko00360	3.955484216111
K01451	ko00360	4.7146222052038
K00824	ko00360	3.25910817494468
K00813	ko00360	3.28421386616642
K05712	ko00360	3.74148550276686
K00457	ko00360	3.91170610348705
K02612	ko00360	3.19425311066314
K01426	ko00360	3.44862712769167
K01692	ko00360	4.17359632800296
K02611	ko00360	3.23350945459194
K02609	ko00360	3.55471539649146
K00832	ko00360	4.03268797971541
K02554	ko00360	2.88588994611872
K00500	ko00360	2.99747923889201
K02613	ko00360	3.53167536868388
K00285	ko00360	4.91734220967536
K01061	ko00361	3.42456393765603
K03381	ko00361	2.73848572989633
K00446	ko00361	3.0294315464298
K00492	ko00361	3.31897049168448
K02554	ko00362	2.88588994611872
K00481	ko00362	3.6730954346365
K01032	ko00362	2.82411891449001
K01031	ko00362	2.89050561625154
K01617	ko00362	3.20040806857705
K01857	ko00362	3.11582254641099
K00446	ko00362	3.0294315464298
K10217	ko00362	3.07664118778336
K04073	ko00362	3.77160494444812
K03381	ko00362	2.73848572989633
K00626	ko00362	4.18645998429569
K00449	ko00362	3.07025469260552
K01692	ko00362	4.17359632800296
K01055	ko00362	4.17514818902748
K00100	ko00363	-3.19705828617099
K00492	ko00363	3.31897049168448
K01061	ko00364	3.42456393765603
K01721	ko00364	3.71408832493025
K03381	ko00364	2.73848572989633
K10217	ko00380	3.07664118778336
K00128	ko00380	3.66874623299616
K03782	ko00380	3.955484216111
K01426	ko00380	3.44862712769167
K00626	ko00380	4.18645998429569
K14338	ko00380	4.38274532206473
K01721	ko00380	3.71408832493025
K03781	ko00380	4.0184174397508
K01692	ko00380	4.17359632800296
K00453	ko00380	3.17693263003181
K00252	ko00380	3.15665798008068
K01556	ko00380	4.26087875061187
K03392	ko00380	3.22587206786011
K01432	ko00380	2.90349704439649
K01658	ko00400	-2.80206165568669
K13497	ko00400	-4.60196919122544
K00832	ko00400	4.03268797971541
K00813	ko00400	3.28421386616642
K00500	ko00400	2.99747923889201
K00813	ko00401	3.28421386616642
K00832	ko00401	4.03268797971541
K00140	ko00410	3.80510314013669
K01692	ko00410	4.17359632800296
K00249	ko00410	4.34180031442515
K00128	ko00410	3.66874623299616
K01464	ko00410	-3.21361908920281
K00822	ko00410	3.74987922088056
K15371	ko00430	4.88400618395725
K00681	ko00430	4.16879924775071
K03119	ko00430	3.30030461802192
K03823	ko00440	2.92003512648305
K06162	ko00440	3.40713299892613
K01841	ko00440	-4.8593147325
K00119	ko00440	4.41349371823965
K09459	ko00440	-3.03180643734501
K05306	ko00440	3.29206393658121
K00955	ko00450	3.98246286852175
K01761	ko00450	-3.5172526772129
K01758	ko00450	3.11015837462989
K05349	ko00460	-5.05836080689661
K05350	ko00460	-3.0911655341002
K00681	ko00460	4.16879924775071
K01914	ko00460	-4.57655070602922
K00261	ko00471	3.51724793202716
K01924	ko00471	-4.02726600209882
K00824	ko00472	3.25910817494468
K00824	ko00473	3.25910817494468
K00681	ko00480	4.16879924775071
K00799	ko00480	4.51458218676792
K01920	ko00480	2.84947569123437
K04097	ko00480	3.48725051967038
K00036	ko00480	3.45895791741912
K01810	ko00500	-3.56476677963039
K05350	ko00500	-3.0911655341002
K05349	ko00500	-5.05836080689661
K15778	ko00500	3.75281296453617
K00694	ko00500	3.08073826525127
K01178	ko00500	4.05247013905077
K02438	ko00500	-3.80911038990071
K00847	ko00500	-5.68042572505017
K00705	ko00500	-5.85997908776213
K00721	ko00510	-3.5800542039756
K01190	ko00511	-4.34000992753968
K15923	ko00511	-5.98596278711135
K01227	ko00511	3.7216225980648
K15778	ko00520	3.75281296453617
K00972	ko00520	-4.68765890634824
K00847	ko00520	-5.68042572505017
