SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,id,Indegree,IsSingleNode,moduland_bridgeness,moduland_overlap,Module_Color,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
130,4.51716247,0.0031938,0.22137791,0.3452381,16,36,K00948,21,FALSE,39.63123703,6.162552834,24,K00948,27.0952381,15,15,FALSE,0,K00948,3802150
131,4.02202517,0.01053928,0.24863097,0.28666064,15,153,K00615,78,FALSE,137.0648041,2.281670094,24,K00615,42.18292683,75,71,FALSE,0,K00615,59862107
132,4.4221968,0.00123513,0.22613195,0.39692308,15,45,K01807,24,FALSE,10.39863586,7.077607155,24,K01807,33.88461538,21,19,FALSE,0,K01807,10238800
133,4.50057208,2.07E-04,0.22219397,0.52857143,15,40,K01783,19,FALSE,5.971195221,8.602534294,24,K01783,36.04761905,21,19,FALSE,0,K01783,577673
134,4.96710526,5.51E-04,0.2013245,0.36666667,15,23,K00032,15,FALSE,8.427991867,15.38618183,150,K00032,18.86666667,8,8,FALSE,0,K00032,428138
135,5.87328375,1.26E-05,0.1702625,0.5,16,8,K11441,4,FALSE,0.464237988,12.59839153,0,K11441,8.25,4,4,FALSE,0,K11441,6672
136,4.46395881,0.0016206,0.2240164,0.30820106,15,47,K00033,26,FALSE,46.36683655,12.10535336,24,K00033,28.32142857,21,19,FALSE,0,K00033,1334190
137,5.09754005,1.64E-05,0.19617305,0.66666667,16,13,K01057,7,FALSE,0.945212007,6.708434105,150,K01057,16.85714286,6,6,FALSE,0,K01057,21464
138,4.63300915,0.00210563,0.21584244,0.36,15,41,K00036,24,FALSE,12.46705627,1.915285945,24,K00036,39.48,17,16,FALSE,0,K00036,3244418
139,4.54977117,3.93E-05,0.21979127,0.56363636,15,22,K00874,11,FALSE,1.20182097,5.418322086,0,K00874,36.81818182,11,11,FALSE,0,K00874,31529
140,4.5326087,9.42E-04,0.2206235,0.40909091,15,21,K01690,11,FALSE,2.942521095,11.4808979,0,K01690,40.18181818,10,10,FALSE,0,K01690,1658974
141,5.10697941,2.55E-04,0.19581046,0.40909091,16,21,K00851,11,FALSE,3.680176973,10.56244755,150,K00851,11.90909091,10,10,FALSE,0,K00851,92152
142,4.54948513,0.00132647,0.21980509,0.46969697,15,24,K05308,12,FALSE,1.438012958,5.352797985,0,K05308,16.83333333,12,12,FALSE,0,K05308,1312759
143,4.61956522,0.00620523,0.21647059,0.1969697,16,24,K01053,12,FALSE,88.41708374,12.75034428,24,K01053,14.58333333,12,12,FALSE,0,K01053,4392326
144,5.10955378,2.63E-04,0.19571181,0.56896552,17,42,K00117,26,FALSE,0.548388004,2.557653904,24,K00117,51.03448276,16,13,FALSE,0,K00117,129828
145,5.10955378,2.63E-04,0.19571181,0.56896552,17,42,K00115,26,FALSE,0.548388004,2.557653904,24,K00115,51.03448276,16,13,FALSE,0,K00115,129828
146,4.85983982,4.64E-04,0.2057681,0.69230769,16,28,K00034,14,FALSE,0.398790002,2.592175007,24,K00034,53.07142857,14,14,FALSE,0,K00034,322386
147,5.28203661,4.39E-05,0.18932091,0.8,16,12,K06151,6,FALSE,1.040349007,10.76557064,0,K06151,8.5,6,6,FALSE,0,K06151,44495
148,4.05978261,0.00409926,0.24631861,0.43625192,15,120,K00616,59,FALSE,6.49950695,2.35482192,24,K00616,49.04761905,61,57,FALSE,0,K00616,34314942
149,3.58180778,0.02608111,0.27918863,0.4324437,14,210,K11395,105,FALSE,26.57922935,4.920154095,0,K11395,93.22727273,105,100,FALSE,0,K11395,129795997
150,4.29805492,1.08E-04,0.23266338,0.66666667,15,42,K11529,21,FALSE,1.684726954,9.586093903,0,K11529,43.57142857,21,21,FALSE,0,K11529,396899
151,4.26544622,5.05E-04,0.23444206,0.69327731,15,67,K01621,32,FALSE,2.557113886,3.849797964,24,K01621,54.42857143,35,32,FALSE,0,K01621,5533764
152,5.28203661,4.39E-05,0.18932091,0.8,16,12,K00090,6,FALSE,1.040349007,10.76557064,0,K00090,8.5,6,6,FALSE,0,K00090,44495
153,5.21453089,2.22E-04,0.1917718,0.51428571,16,21,K13937,15,FALSE,1.150568008,3.599311113,24,K13937,41.04761905,6,0,FALSE,0,K13937,134658
154,4.21310069,0.00111859,0.23735488,0.52159244,15,74,K08093,35,FALSE,20.75996399,11.12291622,24,K08093,44.33333333,39,35,FALSE,0,K08093,4944234
155,4.39559497,3.88E-04,0.22750049,0.76129032,15,58,K08094,29,FALSE,4.707586765,2.12684989,24,K08094,48.41935484,29,27,FALSE,0,K08094,2321480
156,4.55949657,0.0020887,0.21932246,0.44444444,15,18,K17468,9,FALSE,0.863310993,7.926968098,0,K17468,41.22222222,9,9,FALSE,0,K17468,4459788
157,5.5583524,0,0.17990943,1,16,8,K17464,4,FALSE,0.133459002,7.926968098,0,K17464,5.25,4,4,FALSE,0,K17464,0
158,7.09439359,4.90E-04,0.14095637,0.4,18,8,K01184,3,FALSE,0.409482986,5.312223911,54,K01184,5.4,5,3,FALSE,0,K01184,1754539
159,6.29919908,1.05E-04,0.15875034,0.75,17,7,K03081,3,FALSE,0.289469004,7.433827877,24,K03081,7.4,4,2,FALSE,0,K03081,382602
160,5.70051487,8.22E-04,0.17542275,0.23333333,17,17,K00880,9,FALSE,2.520628929,7.547554016,24,K00880,5,8,7,FALSE,0,K00880,734261
161,5.64416476,5.42E-04,0.17717413,0.43333333,17,11,K01195,6,FALSE,135.841156,5.646450043,54,K01195,13,5,5,FALSE,0,K01195,501062
162,4.75400458,1.13E-04,0.21034898,0.66666667,16,12,K01804,6,FALSE,0.126054004,2.338989973,24,K01804,22.16666667,6,6,FALSE,0,K01804,35228
163,4.57036613,0.00204662,0.21880085,0.38339921,15,44,K00853,21,FALSE,36.90325928,7.538082123,100,K00853,26.13043478,23,21,FALSE,0,K00853,6910807
164,5.49599542,0,0.18195066,1,16,8,K00039,4,FALSE,0.069243997,6.313005924,24,K00039,13.25,4,4,FALSE,0,K00039,0
165,4.58381007,5.60E-04,0.21815913,0.61764706,15,32,K00875,15,FALSE,3.438344002,7.403005123,100,K00875,32.64705882,17,15,FALSE,0,K00875,2789684
166,4.77660183,3.10E-04,0.20935385,0.68888889,16,20,K01786,10,FALSE,8.853303909,6.169997215,24,K01786,27.3,10,10,FALSE,0,K01786,2587153
167,4.58953089,0,0.21788719,0.85714286,15,26,K05352,12,FALSE,3.68274498,10.2892704,24,K05352,38.64285714,14,12,FALSE,0,K05352,0
168,5.47797483,5.57E-04,0.18254921,0.55357143,16,15,K03082,8,FALSE,4.011235237,7.448080063,24,K03082,10.125,7,7,FALSE,0,K03082,1971972
169,5.11870709,5.78E-04,0.19536183,0.39285714,17,42,K00007,25,FALSE,1.139858961,2.299199104,24,K00007,35.46428571,17,14,FALSE,0,K00007,5490667
170,4.69822654,2.05E-04,0.21284627,0.49090909,16,22,K00854,11,FALSE,0.389589012,4.644990921,24,K00854,29.72727273,11,11,FALSE,0,K00854,1456159
171,5.48483982,7.90E-04,0.18232073,0,16,3,K14275,1,FALSE,5.981713772,3.270541906,225,K14275,4,2,1,FALSE,0,K14275,1234924
172,5.7826087,0,0.17293233,1,17,6,K01820,3,FALSE,0.170393005,7.433827877,24,K01820,6.666666667,3,3,FALSE,0,K01820,0
173,4.81149886,6.91E-05,0.20783544,0.53333333,16,12,K05351,6,FALSE,0.949234009,2.596443892,24,K05351,32,6,6,FALSE,0,K05351,349209
